Date,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
2010-02-10,NH,0.06862745098039216,0.0380952380952381,0.0963855421686747,0.08860759493670886,1.0,0.42857142857142855,D,L,D,D,W,D,L,D,L,D,0,0,0,0,0,0,0,0,-0.14285714285714285,-0.42857142857142855,0.5714285714285714,0.42857142857142855
2010-02-10,H,0.06862745098039216,0.06666666666666667,0.10843373493975904,0.08860759493670886,1.0,1.1428571428571428,W,D,W,L,L,W,D,D,L,L,0,0,0,0,0,0,0,0,-0.2857142857142857,0.0,-0.14285714285714285,0.2857142857142857
2010-02-10,NH,0.06862745098039216,0.1523809523809524,0.08433734939759036,0.11392405063291139,1.0,1.7142857142857142,D,D,D,W,L,D,W,D,W,D,0,0,0,0,0,0,0,0,0.0,1.0,-0.7142857142857143,-0.42857142857142855
2010-02-10,H,0.058823529411764705,0.0761904761904762,0.060240963855421686,0.12658227848101267,1.1428571428571428,1.4285714285714286,L,W,D,L,W,W,D,L,W,L,0,0,0,0,0,0,0,0,0.14285714285714285,-0.2857142857142857,-0.2857142857142857,0.0
2010-02-10,NH,0.0784313725490196,0.08571428571428572,0.13253012048192772,0.12658227848101267,1.4285714285714286,1.0,W,W,D,L,W,D,D,L,D,W,0,0,0,0,0,0,0,0,-0.42857142857142855,-0.14285714285714285,0.42857142857142855,0.5714285714285714
2010-02-10,NH,0.0392156862745098,0.06666666666666667,0.1566265060240964,0.0759493670886076,0.5714285714285714,1.1428571428571428,W,D,L,L,L,D,D,W,D,D,0,0,1,0,0,0,0,0,-1.2857142857142858,0.14285714285714285,-0.5714285714285714,-0.42857142857142855
2010-02-10,H,0.0196078431372549,0.06666666666666667,0.1566265060240964,0.12658227848101267,0.7142857142857143,0.7142857142857143,D,L,D,W,L,L,L,L,D,D,0,0,0,0,0,0,0,0,-1.5714285714285714,-0.42857142857142855,0.0,0.42857142857142855
2010-03-10,H,0.20588235294117646,0.1523809523809524,0.024096385542168676,0.08860759493670886,2.142857142857143,1.5714285714285714,L,W,W,W,W,L,D,W,W,W,1,0,0,0,1,0,0,0,2.7142857142857144,1.2857142857142858,0.5714285714285714,0.2857142857142857
2010-03-10,NH,0.058823529411764705,0.08571428571428572,0.10843373493975904,0.17721518987341772,0.8571428571428571,1.0,D,L,D,W,L,L,L,W,D,L,0,0,0,0,0,0,0,0,-0.42857142857142855,-0.7142857142857143,-0.14285714285714285,0.14285714285714285
2010-03-10,H,0.06862745098039216,0.08571428571428572,0.024096385542168676,0.10126582278481013,1.5714285714285714,1.0,W,W,D,L,W,L,W,L,D,W,0,0,0,0,0,0,0,0,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.42857142857142855
2010-10-16,H,0.1568627450980392,0.06666666666666667,0.10843373493975904,0.12658227848101267,1.375,0.875,L,L,D,W,W,L,D,L,D,D,0,0,0,0,0,0,0,0,0.875,-0.375,0.5,0.5
2010-10-16,NH,0.08823529411764706,0.21904761904761905,0.14457831325301204,0.02531645569620253,1.25,2.25,L,W,D,L,W,W,L,W,W,W,0,0,0,0,1,0,0,0,-0.375,2.625,-1.0,-0.625
2010-10-16,H,0.09803921568627451,0.0761904761904762,0.13253012048192772,0.11392405063291139,1.0,1.25,D,D,D,L,D,W,W,D,W,L,0,0,0,0,0,0,0,0,-0.125,-0.125,-0.25,-0.75
2010-10-16,NH,0.0784313725490196,0.0761904761904762,0.08433734939759036,0.0759493670886076,1.125,1.375,D,D,D,W,D,W,L,W,D,L,0,0,0,0,0,0,0,0,0.125,0.25,-0.25,0.0
2010-10-16,NH,0.1568627450980392,0.08571428571428572,0.10843373493975904,0.1518987341772152,1.625,1.375,D,D,W,D,W,D,W,W,D,L,0,0,0,0,0,0,0,0,0.875,-0.375,0.25,0.125
2010-10-16,NH,0.09803921568627451,0.0380952380952381,0.12048192771084337,0.16455696202531644,0.875,1.0,L,L,W,L,D,W,D,L,D,W,0,0,0,0,0,0,0,0,0.0,-1.125,-0.125,-0.5
2010-10-16,NH,0.06862745098039216,0.047619047619047616,0.14457831325301204,0.17721518987341772,0.625,0.625,L,L,L,L,D,D,W,D,L,L,0,0,0,0,0,0,0,0,-0.625,-1.125,0.0,-0.5
2010-10-17,NH,0.10784313725490197,0.08571428571428572,0.18072289156626506,0.0379746835443038,1.25,1.75,W,L,L,W,D,W,W,W,D,L,0,0,0,0,0,0,0,0,-0.5,0.75,-0.5,-0.375
2010-10-17,H,0.058823529411764705,0.06666666666666667,0.08433734939759036,0.13924050632911392,0.75,0.75,W,D,L,D,L,L,D,L,D,W,0,0,0,0,0,0,0,0,-0.125,-0.5,0.0,0.0
2010-10-18,NH,0.06862745098039216,0.06666666666666667,0.0963855421686747,0.08860759493670886,1.0,1.0,L,W,D,D,L,D,D,D,D,W,0,0,0,0,0,0,0,0,-0.125,0.0,0.0,-0.25
2010-10-23,H,0.0784313725490196,0.12380952380952381,0.14457831325301204,0.22784810126582278,0.7777777777777778,1.1111111111111112,L,L,D,L,D,L,W,L,L,W,0,0,0,0,0,0,0,0,-0.4444444444444444,-0.5555555555555556,-0.3333333333333333,-0.4444444444444444
2010-10-23,H,0.22549019607843138,0.0761904761904762,0.024096385542168676,0.16455696202531644,2.111111111111111,0.6666666666666666,D,W,L,W,W,D,L,L,L,L,0,0,0,0,0,0,1,0,2.3333333333333335,-0.5555555555555556,1.4444444444444444,1.0
